NAME,Slug,Image,Description,Price,Availability
乾扁四季豆,Vegetables,/Users/rickyho/downloads/photo/chips.jpg,主要成份：四季豆、黑胡椒、海盐、橄榄油、迷迭香、柠檬汁。,38,Dinner
凍檸荼,Beverage,/Users/rickyho/downloads/photo/salads.jpg,冻柠茶核心成份：红茶、新鲜柠檬、白砂糖辅助配料：冰块、清水,17,All
吉列猪枊,Pork,/Users/rickyho/downloads/photo/hero-restaurant.jpg,港式猪扒饭核心成份：猪里脊肉（猪扒）、大米、土豆、胡萝卜、洋葱,52,Lunch
咖哩魚蛋串,Fish,/Users/rickyho/downloads/photo/pizza.jpg,咖喱鱼蛋核心成份：新鲜鱼肉（龙利鱼 / 马鲛鱼）、木薯淀粉、咖喱块（黄咖喱 / 红咖喱）,20,Tea
沙嗲牛麵配滑蛋多士,Beef,/Users/rickyho/downloads/photo/drinks.jpg,新鲜牛肉 、无菌鸡蛋、小油菜 / 芥蓝,32,Breakfast
滑蛋叉燒飯,Pork,/Users/rickyho/downloads/photo/burger.jpg,核心成份：优质大米、新鲜猪梅花肉 / 叉烧肉、无菌鸡蛋、小油菜 / 芥蓝辅助配料：生抽、老抽、蜂蜜、冰糖、葱、姜、蒜、料酒、水淀粉,46,Lunch
焗猪扒飯,Pork,/Users/rickyho/downloads/photo/sandwiches.jpeg,黯然销魂饭核心成份：优质大米、新鲜猪梅花肉 / 叉烧肉、无菌鸡蛋、小油菜 / 芥蓝,54,Lunch
燒賣,Fish,/Users/rickyho/downloads/photo/pie.jpg,咖喱鱼蛋核心成份：新鲜鱼肉（龙利鱼 / 马鲛鱼）,30,Tea
田園蔬菜沙拉,Vegetables,/Users/rickyho/downloads/photo/bar.jpg,主要成份：多種時疏、生抽、素蚝油、葱花,54,Breakfast
素串燒,Vegetables,/Users/rickyho/downloads/photo/cakes.jpg,成份：紫菜、豆腐皮、鸡蛋（素食替换为菌菇）、葱花、香油、盐,26,Tea
素叉燒拼盤,Vegetables,/Users/rickyho/downloads/photo/bar.jpg,成份：紫菜、豆腐皮、鸡蛋（素食替换为菌菇）、葱花、香油、盐,54,Tea
